Move,From_Sqaure,Target_Sqaure,Piece_Moved,Piece_Captured,Is_Check,FEN,Top_10_Moves
g8f6,g8,f6,n,,False,rnbqkbnr/pp2pppp/2p5/3p2B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq - 0 3,"['d5c4', 'h7h6', 'd8b6', 'g8f6', 'f7f6', 'c8g4', 'a7a6', 'd8a5', 'g7g6', 'h7h5']"
e7e6,e7,e6,p,,False,rnbqkb1r/pp2pppp/2p2n2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 2 4,"['f6e4', 'd5c4', 'b8d7', 'd8a5', 'a7a6', 'e7e6', 'h7h6', 'd8b6', 'c8e6', 'c8g4']"
f8e7,f8,e7,b,,False,rnbqkb1r/pp3ppp/2p1pn2/3p2B1/2PP4/2N2P2/PP2P1PP/R2QKBNR b KQkq - 0 5,"['h7h6', 'd5c4', 'd8b6', 'f8e7', 'b8d7', 'b7b5', 'c6c5', 'd8a5', 'b8a6', 'f8b4']"
d5e4,d5,e4,p,P,False,rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PPP3/2N2P2/PP4PP/R2QKBNR b KQkq - 0 6,"['d5e4', 'f6e4', 'd5c4', 'b8d7', 'e8g8', 'c6c5', 'h7h6', 'f6d7', 'b7b6', 'b8a6']"
e8g8,e8,g8,k,,False,rnbqk2r/pp2bppp/2p1pn2/6B1/2PPP3/2N5/PP4PP/R2QKBNR b KQkq - 0 7,"['e6e5', 'c6c5', 'f6e4', 'e8g8', 'f6d5', 'h7h6', 'f6d7', 'f6g8', 'b7b5', 'b7b6']"
f6d7,f6,d7,n,,False,rnbq1rk1/pp2bppp/2p1pn2/6B1/2PPP3/2N2N2/PP4PP/R2QKB1R b KQ - 2 8,"['h7h6', 'e6e5', 'f6d5', 'f6g4', 'c6c5', 'b7b6', 'f6d7', 'c8d7', 'b8d7', 'a7a5']"
d8e7,d8,e7,q,B,False,rnbq1rk1/pp1nBppp/2p1p3/8/2PPP3/2N2N2/PP4PP/R2QKB1R b KQ - 0 9,"['d8e7', 'd8b6', 'd7e5', 'e6e5', 'c6c5', 'b7b5', 'f7f5', 'a7a5', 'g8h8', 'd8a5']"
d7f6,d7,f6,n,,False,rnb2rk1/pp1nqppp/2p1p3/8/2PPP3/2NB1N2/PP4PP/R2QK2R b KQ - 1 10,"['e6e5', 'c6c5', 'h7h6', 'b7b5', 'f8d8', 'e7b4', 'f7f6', 'f7f5', 'g7g6', 'e7d8']"
b8d7,b8,d7,n,,False,rnb2rk1/pp2qppp/2p1pn2/8/2PPP3/2NB1N2/PP4PP/R2Q1RK1 b - - 3 11,"['f6d7', 'f6g4', 'e6e5', 'c6c5', 'b8d7', 'f6h5', 'f6e8', 'g8h8', 'e7d8', 'b7b6']"
f6e8,f6,e8,n,,False,r1b2rk1/pp1nqppp/2p1pn2/4P3/2PP4/2NB1N2/PP4PP/R2Q1RK1 b - - 0 12,"['f6g4', 'f6e8', 'f6h5', 'b7b6', 'c6c5', 'd7e5', 'f8d8', 'e7d8', 'b7b5', 'g8h8']"
b7b6,b7,b6,p,,False,r1b1nrk1/pp1nqppp/2p1p3/4P3/2PPN3/3B1N2/PP4PP/R2Q1RK1 b - - 2 13,"['c6c5', 'f7f5', 'g8h8', 'b7b5', 'a7a5', 'h7h6', 'a7a6', 'b7b6', 'f7f6', 'e7d8']"
h7h6,h7,h6,p,,False,r1b1nrk1/p2nqppp/1pp1p3/4P1N1/2PPN3/3B4/PP4PP/R2Q1RK1 b - - 1 14,"['g7g6', 'f7f5', 'h7h6', 'f7f6', 'c8b7', 'c8a6', 'b6b5', 'c6c5', 'd7e5', 'a7a5']"
f7f6,f7,f6,p,,False,r1b1nrk1/p2nqpp1/1pp1p2p/4P1NQ/2PPN3/3B4/PP4PP/R4RK1 b - - 1 15,"['f7f6', 'c6c5', 'f7f5', 'a7a5', 'b6b5', 'a7a6', 'a8b8', 'c8a6', 'c8b7', 'e8c7']"
e8f6,e8,f6,n,P,False,r1b1nrk1/p2nq1p1/1pp1pP1p/6NQ/2PPN3/3B4/PP4PP/R4RK1 b - - 0 16,"['e8f6', 'f8f6', 'd7f6', 'g7f6', 'e7f6', 'e7f7', 'f8f7', 'd7c5', 'c8b7', 'e7d8']"
d7f6,d7,f6,n,N,False,r1b2rk1/p2nq1p1/1pp1pN1p/6NQ/2PP4/3B4/PP4PP/R4RK1 b - - 0 17,"['d7f6', 'f8f6', 'e7f6', 'g7f6', 'g8h8']"
